BOLD_ID,associatedMedia
DSPYC102-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1835+1318426910.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1831+1318426492.JPG
DSPYC108-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1773+1318361736.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1772+1318361574.JPG
DSPYC066-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1995+1318537548.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1997+1318537624.JPG
DSPYC032-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1948+1318525320.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1949+1318525394.JPG
DSPYC018-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1652+1318278720.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1651+1318278632.JPG
DSPYC038-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1997+1318537624.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1996+1318537560.JPG
DSPYC034-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1938+1318519804.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1939+1318519970.JPG
DSPYC026-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1936+1318519212.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1937+1318519306.JPG
DSPYC040-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1985+1318535306.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1986+1318535380.JPG
DSPYC059-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1989+1318536622.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1990+1318536666.JPG
DSPYC031-11,http://v3.boldsystems.org/pics/DSPYC/_DSC2014+1318592872.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC2013+1318592778.JPG
DSPYC046-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1969+1318530754.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1971+1318530918.JPG
DSPYC039-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1997+1318537624.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1996+1318537560.JPG
DSPYC072-11,http://v3.boldsystems.org/pics/DSPYC/_DSC2032+1318597630.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC2031+1318597574.JPG
DSPYC054-11,http://v3.boldsystems.org/pics/DSPYC/_DSC2024+1318595222.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC2022+1318595140.JPG
DSPYC043-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1935+1318518822.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1933+1318518724.JPG
DSPYC036-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1655+1318279320.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1656+1318279366.JPG
DSPYC017-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1658+1318279770.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1657+1318279610.JPG
DSPYC145-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1901+1318443950.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1900+1318443844.JPG
DSPYC028-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1944+1318524138.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1945+1318524234.JPG
DSPYC012-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1641+1318275764.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1642+1318275830.JPG
DSPYC024-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1639+1318275240.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1640+1318275318.JPG
DSPYC139-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1885+1318441060.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1884+1318440996.JPG
DSPYC140-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1875+1318439262.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1874+1318439076.JPG
DSPYC127-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1877+1318439660.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1876+1318439568.JPG
DSPYC010-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1631+1318273162.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1632+1318273248.JPG
DSPYC020-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1633+1318273662.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1634+1318273862.JPG
DSPYC190-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1703+1318340482.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1704+1318340614.JPG
DSPYC042-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1966+1318529866.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1963+1318529554.JPG
DSPYC022-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1646+1318277334.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1645+1318277212.JPG
DSPYC019-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1648+1318277990.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1647+1318277924.JPG
DSPYC023-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1637+1318274604.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1638+1318274708.JPG
DSPYC172-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1754+1318354456.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1756+1318354572.JPG
DSPYC160-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1768+1318357178.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1769+1318357242.JPG
DSPYC153-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1757+1318354830.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1758+1318354974.JPG
DSPYC173-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1760+1318355388.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1759+1318355328.JPG
DSPYC177-11,http://v3.boldsystems.org/pics/DSPYC/_DSC1668+1318333910.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC1666+1318333816.JPG
DSPYC033-11,http://v3.boldsystems.org/pics/DSPYC/_DSC2025+1318595586.JPG | http://v3.boldsystems.org/pics/DSPYC/_DSC2026+1318595652.JPG
